tensor([[4.1519]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.1291]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.7229]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.5681]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8719]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8384]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.5831]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0145]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9915]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.6622]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0433]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7233]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.4938]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0156]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4968]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5790]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.2362]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.7190]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9664]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.8957]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1124]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.7356]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.7176]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.9253]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3341]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.3030]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.5737]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.4444]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.1915]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.2908]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.1925]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6542]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.6886]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.1198]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[-0.5589]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.4726]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.9018]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6753]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5013]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6567]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.3787]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.6663]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.5322]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0643]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.1813]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9886]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.9236]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.8632]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3962]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.4520]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8554]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.6794]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.6055]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5858]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7508]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.2046]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.3381]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2881]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3623]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.8479]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.0643]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.8463]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1606]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9193]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3269]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.1738]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4840]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.6836]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1772]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.8052]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.7268]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2337]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.2624]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0304]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.7382]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.6997]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9944]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7797]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.9654]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.3419]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7183]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.0214]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.6967]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.2642]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9716]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8892]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.4907]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.0009]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1092]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.0058]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.4010]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.6352]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.7089]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9420]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.4766]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.1204]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.0581]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.3927]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8256]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.0326]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.0823]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.1340]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9490]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.9437]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.6505]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.3348]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.5963]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4805]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.0292]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.2021]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.3400]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.6884]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4257]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.1133]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9187]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.8556]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3818]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.7594]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.0175]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.4978]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3016]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.0162]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.6899]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3533]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.3818]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.2731]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[1.0921]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9488]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5230]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.0988]], device='cuda:0', grad_fn=<SumBackward1>)
